"
",>>>>>,Lower,Left,<<<<<,"
Agreed to,-0.01454228346101685,0.050508639099174836,390.0,34.0,212.0,-178.0,", On Agreeing to the Amendment"
Passed,-0.0123327135119166,0.055114090666045744,421.0,9.0,215.0,-206.0,"Providing for the Consideration of the Senate Amendments to H.R. 622, To Amend the Internal Revenue Code of 1986 to Expand the Adoption Credit, and for other purposes, On Ordering the Previous Question"
Passed,-0.011898624282684683,0.0545982188316278,417.0,7.0,212.0,-205.0,"Providing for the Consideration of the Senate Amendments to H.R. 622, To Amend the Internal Revenue Code of 1986 to Expand the Adoption Credit, and for other purposes, On Agreeing to the Resolution"
Passed,-0.013998601148370567,0.05339753688950922,400.0,26.0,213.0,-187.0,"Adoption Credit Expansion, On motion to agree to Senate amendments with amendments"
Passed,-0.013632748962121684,0.05248524211738729,405.0,27.0,216.0,-189.0,"Providing for consideration of motions to suspend the rules, On Ordering the Previous Question"
Passed,-0.01356480805711425,0.05233446581247231,399.0,25.0,212.0,-187.0,"Providing for consideration of Senate Amendment to H.R. 3090; Job Creation and Worker Assistance Act, On Ordering the Previous Question"
Passed,-0.013602572445804957,0.053231367259791974,405.0,23.0,214.0,-191.0,"Providing for consideration of H.R. 2341; Class Action Fairness Act, On Ordering the Previous Question"
Passed,-0.012942512529699605,0.05512483772757278,423.0,15.0,219.0,-204.0,"Providing for consideration of H.Con.Res. 353; Budget Resolution for Fiscal Year 2003, On Ordering the Previous Question"
Passed,-0.013033266182731417,0.055117527317901094,422.0,16.0,219.0,-203.0,"Providing for consideration of H.Con.Res. 353; Budget Resolution for Fiscal Year 2003, Table Motion to Reconsider"
Passed,-0.013132293659357457,0.0556459378149178,426.0,16.0,221.0,-205.0,"Providing for consideration of H.Con.Res. 353; Budget Resolution for Fiscal Year 2003, On Agreeing to the Resolution"
Passed,-0.011917228339434342,0.05465224008838365,417.0,7.0,212.0,-205.0,"Providing for consideration of H.Con.Res. 353; Budget Resolution for Fiscal Year 2003, Table Motion to Reconsider"
Passed,-0.012687249613034484,0.05549765418759223,422.0,12.0,217.0,-205.0,"Congressional Budget Resolution, On Agreeing to the Resolution"
Passed,-0.012438097394581295,0.0554480490604558,424.0,10.0,217.0,-207.0,"Providing for the Consideration of H.R. 3762, Pension Security Act, On Ordering the Previous Question"
Passed,-0.011953673940871273,0.05502042820916828,420.0,6.0,213.0,-207.0,"Providing for the Consideration of H.R. 3762, Pension Security Act, On Agreeing to the Resolution"
Passed,-0.01263234428583955,0.05527034027264462,423.0,13.0,218.0,-205.0,"Providing for the Consideration of the Senate Amendment to H.R. 586, Fairness for Foster Care Families Act, On Ordering the Previous Question"
Passed,-0.012567658626703756,0.05497602138174453,421.0,13.0,217.0,-204.0,"Providing for the Consideration of the Senate Amendment to H.R. 586, Fairness for Foster Care Families Act, On Agreeing to the Resolution"
Passed,-0.014443767323069382,0.05359633785449887,405.0,31.0,218.0,-187.0,"Fairness for Foster Care Families Act, On Motion to Agree to the Senate Amendment with an Amendment"
Passed,-0.01256816957045028,0.05405215416640653,413.0,13.0,213.0,-200.0,"Providing for consideration of H.R. 4546; Department of Defense Authorization for F.Y. 2003, On Ordering the Previous Question"
Passed,-0.01263671150984516,0.05199290292199362,390.0,16.0,203.0,-187.0,"Providing for consideration of H.R. 4546; Department of Defense Authorization for F.Y. 2003, On Agreeing to the Resolution"
Passed,-0.013078290904455349,0.05386403557884551,413.0,19.0,216.0,-197.0,"Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, On Agreeing to the Resolution"
Passed,-0.012076833816877179,0.0544405560239096,415.0,9.0,212.0,-203.0,"Providing for the consideration of H.R. 4737; Personal Responsibility, Work, and Family Promotion Act, On Ordering the Previous Question"
Passed,-0.01215861111696901,0.05471200334379427,415.0,9.0,212.0,-203.0,"Providing for the consideration of H.R. 4737; Personal Responsibility, Work, and Family Promotion Act, On Agreeing to the Resolution"
Passed,-0.014558599400310533,0.05195960427132347,389.0,33.0,211.0,-178.0,"Personal Responsibility, Work, and Family Promotion Act, On Passage"
Passed,-0.011797816806570292,0.05444365311834728,415.0,7.0,211.0,-204.0,"Providing for the consideration of H.R. 4775, 2002 Supplemental Appropriations Act for Further Recovery From and Respnse To Terrorist Attacks on the United States, On Agreeing to the Resolution"
Passed,-0.012489932986980817,0.05444045018322656,416.0,12.0,214.0,-202.0,"2002 Supplemental Appropriations Act for Further Recovery From and Response To Terrorist Attacks on the United States, Sustain the Ruling of the Chair"
Passed,-0.012217604259265198,0.05371980292455686,410.0,12.0,211.0,-199.0,"Providing for the Further Consideration of H.R. 4775, 2002 Supplemental Appropriations Act for Further Recovery From and Response To Terrorist Attacks on the United States, On Agreeing to the Resolution"
Passed,-0.013610964197044561,0.05401440811778448,410.0,22.0,216.0,-194.0,"Providing for the Consideration of H.R. 2143, Permanent Death Tax Repeal Act, On Ordering the Previous Question"
Passed,-0.014534638160287454,0.052888144173721126,400.0,32.0,216.0,-184.0,"Providing for the Consideration of H.R. 2143, Permanent Death Tax Repeal Act, On Agreeing to the Resolution"
Passed,-0.012686229637389733,0.0561028991543208,429.0,11.0,220.0,-209.0,"Providing for consideration of H.R. 5011; Military Construction Appropriations for Fiscal Year 2003, On Ordering the Previous Question"
Agreed to,-0.012398874232599418,0.05586932845621039,426.0,8.0,217.0,-209.0,", On Agreeing to the Amendment"
Passed,-0.0117820319903711,0.05539835491011924,421.0,5.0,213.0,-208.0,"Providing for consideration of H.R. 4954; Medicare Modernization and Prescription Drug Act of 2002, On Agreeing to the Resolution"
Passed,-0.01243468914201876,0.05238642978307707,395.0,13.0,204.0,-191.0,"Medicare Modernization and Prescription Drug Act of 2002, On Passage"
Passed,-0.012732023448095557,0.05526023421485595,423.0,13.0,218.0,-205.0,"Providing for consideration of H.R. 5121; Legislative Branch Appropriations for Fiscal Year 2003, On Agreeing to the Resolution"
Agreed to,-0.014274762632861988,0.0534663260304582,402.0,28.0,215.0,-187.0,", On Agreeing to the Amendment"
Agreed to,-0.013977740922279118,0.054309474225043584,409.0,25.0,217.0,-192.0,", On Agreeing to the Amendment"
Agreed to,-0.013063033528654277,0.05391942645742252,408.0,18.0,213.0,-195.0,", On Agreeing to the Amendment"
Passed,-0.01237471571873789,0.05281398372994883,396.0,12.0,204.0,-192.0,"Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, On Agreeing to the Resolution"
Passed,-0.012884994854794732,0.05008973832244621,376.0,22.0,199.0,-177.0,"Waiving Points of Order Against the Conference Report on H.R. 2002, Trade Act of 2002, On Agreeing to the Resolution"
Passed,-0.01208746752322068,0.053701114569767165,413.0,13.0,213.0,-200.0,"Providing for consideration of H.Res. 524; sense of the House that Congress should complete action on the Permanent Death Tax Repeal Act, and H.Res. 525 sense of the House that Congress should complete action on legislation extendingand strengthing the successful 1996 welfare reforms., On Ordering the Previous Question"
Passed,-0.012173570358815918,0.05327115613100459,410.0,14.0,212.0,-198.0,"Providing for consideration of H.Res. 524; sense of the House that Congress should complete action on the Permanent Death Tax Repeal Act, and H.Res. 525 sense of the House that Congress should complete action on legislation extendingand strengthing the successful 1996 welfare reforms., On Agreeing to the Resolution"
Passed,-0.012775318074637509,0.05393695354770796,414.0,18.0,216.0,-198.0,"Providing for consideration of H.Res 540 regarding completion of Congressional action on H.R. 3762, Pension Security; H. Res. 544, regarding permanency of pension reform provisions; and H.Res. 543, regarding completion of Congressionalaction on H.R. 4019, making marriage tax relief permanent., On Ordering the Previous Question"
Passed,-0.013511412784317169,0.05282282872741331,401.0,25.0,213.0,-188.0,"Providing for consideration of H.R. 4600; Help Efficient, Accessible, Low Cost, Timely Healthcare Act of 2002, On Agreeing to the Resolution"
Passed,-0.01192961143850288,0.053427638608141585,409.0,11.0,210.0,-199.0,", Table the Appeal of the Ruling of the Chair"
Passed,-0.011811183896798553,0.05403486081647034,411.0,9.0,210.0,-201.0,", Table the Appeal of the Ruling of the Chair"
Passed,-0.012283512509388387,0.054123376476083424,415.0,13.0,214.0,-201.0,", Table the Appeal of the Ruling of the Chair"
Passed,-0.012008457523567734,0.054029664579432174,413.0,11.0,212.0,-201.0,", Table the Appeal of the Ruling of the Chair"
Passed,-0.014126433814877219,0.05148232632340079,399.0,33.0,216.0,-183.0,"Providing for the Consideration of H.J. Res. 122, Further Continuing Approriations for FY 2003, On Agreeing to the Resolution"
Passed,-0.012306433357437316,0.05215482592771567,401.0,17.0,209.0,-192.0,"Providing for consideration of H.J. Res 123; Making further continuing appropriations for fiscal year 2003, On Ordering the Previous Question"
Passed,-0.013412872864059237,0.05211209821343187,403.0,27.0,215.0,-188.0,"Providing for consideration of H.J. Res 124, making further continuing appropriations for the fiscal year 2003; and for consideration of H.R. 5708, to reduce preexisting PAYGO balances., On Agreeing to the Resolution"
Passed,-0.011697159437561916,0.052963236975703785,404.0,10.0,207.0,-197.0,"Providing for the Consideration of the Senate Amendments to H.R. 5063, Armed Forces Tax Fairness Act, On Ordering the Previous Question"
"
",>>>>>,Upper,Right,<<<<<,"
"
Passed,-0.04273846969813916,-0.013479384745552783,11.0,399.0,205.0,194.0,"Federal Firefighters Retirement Age Fairness Act, On Motion to Supend the Rules and Pass, as Amended"
Passed,-0.04330194716423948,-0.013305172104585816,13.0,405.0,209.0,196.0,"Permitting the Use of the Rotunda of the Capitol for a Ceremony as part of the Commemoration of the Days of Remembrance of Victims of the Holocaust, On Motion to Suspend the Rules and Agree"
Passed,-0.04321315013683935,-0.013482571002551312,11.0,403.0,207.0,196.0,"Expressing Sympathy for the Victims of the Devastating Earthquake that Struck India, On Motion to Suspend the Rules and Agree"
Passed,-0.043833542347249864,-0.013767708625815018,10.0,408.0,209.0,199.0,"Recognizing the 90th birthday of Ronald Reagan, On Motion to Suspend the Rules and Pass"
Passed,-0.043861549843187686,-0.014964760169715834,2.0,410.0,206.0,204.0,"Honoring the contributions of Catholic schools, On Motion to Suspend the Rules and Agree"
Passed,-0.04381856324010178,-0.014810115197765655,3.0,411.0,207.0,204.0,"To designate the Goro Hokama Post Office Building in Lanai City, Hawaii, On Motion to Suspend the Rules and Pass"
Passed,-0.043821746594241075,-0.013624050068589345,11.0,407.0,209.0,198.0,"Congratulating the Prime Minister-elect of Israel, Airel Sharon, calling for an end to violence in the Middle East, reaffirming the friendship between the Governments of the United States and Israel, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.04366278937490206,-0.012300975830023134,19.0,403.0,211.0,192.0,"Social Security and Medicare Lock-Box Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.042737516151437595,-0.016838539502596978,-13.0,401.0,194.0,207.0,"Electronic Commerce Enhancement Act, On Motion to Suspend the Rules and Pass"
Passed,-0.04260419096479278,-0.015621868885127252,-6.0,398.0,196.0,202.0,"Rail Passenger Disaster Family Assistance Act, On Passage"
