"
",>>>>>,Lower,Left,<<<<<,"
Failed,-0.012594191941853376,-0.04860048134476927,-405.0,-33.0,-219.0,186.0,"Marriage Tax Penalty Relief Reconciliation Act, On Motion to Recommit with Instructions"
Failed,-0.011173220988503017,-0.04928887341332066,-409.0,-19.0,-214.0,195.0,"Marriage Tax Penalty Relief Reconciliation Act, On Motion to Instruct Conferees"
Failed,-0.01138409954337356,-0.04908568303517543,-413.0,-19.0,-216.0,197.0,", On Agreeing to the Amendment"
Failed,-0.00962021506401791,-0.0494175525793924,-403.0,-5.0,-204.0,199.0,"Making Appropriations for Labor, Health and Human Services for Fiscal Year 2001, On Motion to Instruct Conferees"
Failed,-0.011881287655843321,-0.046540376603806374,-375.0,-29.0,-202.0,173.0,"District of Columbia Appropriations for F.Y. 2001, On Motion to Instruct Conferees"
"
",>>>>>,Upper,Left,<<<<<,"
"
Hastert,0.010705835627107871,0.04957144399551756,424.0,16.0,220.0,-204.0,", Election of the Speaker"
Passed,0.01000703185039296,0.04939350246885652,422.0,10.0,216.0,-206.0,"Adopting rules for the One Hundred Sixth Congress, On Ordering the Previous Question"
Passed,0.010413384348402801,0.049058383311837525,420.0,14.0,217.0,-203.0,"Adopting rules for the One Hundred Sixth Congress, On Agreeing to the Resolution"
Passed,0.011496623396434574,0.04877932762163803,410.0,26.0,218.0,-192.0,"Appointment of Managers to Conduct an Impeachment Trial, On Agreeing to the Resolution"
Passed,0.010902672268156392,0.048385759350427764,410.0,20.0,215.0,-195.0,"Providing for consideration of H.R. 800; Education Flexibility Partnership Act, On Ordering the Previous Question"
Passed,0.010848368623748173,0.049653151504945946,417.0,17.0,217.0,-200.0,"Providing for consideration of H.Con.Res. 42; Peacekeeping Operations in Kosovo, On Ordering the Previous Question"
Passed,0.010699214179905527,0.04872023562252676,406.0,18.0,212.0,-194.0,"Providing for consideration of H.Con.Res. 42; Peacekeeping Operations in Kosovo, On Agreeing to the Resolution"
Passed,0.010727223468876654,0.04962580644502004,422.0,14.0,218.0,-204.0,", Sustain the ruling of the chair"
Passed,0.009871867719731671,0.0492777115468572,419.0,7.0,213.0,-206.0,"Committee Funding Resolution for the 106th Congress, On Agreeing to the Resolution"
Passed,0.0113201771314873,0.049509345714143047,416.0,22.0,219.0,-197.0,"Providing for the consideration of H. Con. Res. 68, Congressional Budget for U.S. Government for FY 2000, On Ordering the Previous Question"
Passed,0.012685514042638003,0.04734591280467286,393.0,35.0,214.0,-179.0,"Providing for the consideration of H. Con. Res. 68, Congressional Budget for U.S. Government for FY 2000, On Agreeing to the Resolution"
Passed,0.010615840596173029,0.049891714859886485,416.0,14.0,215.0,-201.0,"Congressional Budget for U.S. Government for FY 2000, On Agreeing to the Resolution"
Passed,0.011115301033775943,0.04977491469755293,419.0,17.0,218.0,-201.0,"Waiving Points of Order Against the Conference Report H. Con. Res 68, Congressional Budget for U.S.Government for FY 2000, On Agreeing to the Resolution"
Passed,0.010533994665925219,0.04973898582462889,415.0,13.0,214.0,-201.0,"Congressional Budget for U.S. Government for FY 2000, On Agreeing to the Conference Report"
Passed,0.010538998012055465,0.05012104553416918,424.0,14.0,219.0,-205.0,"Providing for the consideration of H.R. 472, Local Census Quality Control Act, On Ordering the Previous Question"
Passed,0.01060728416689185,0.04973959133086744,419.0,15.0,217.0,-202.0,"Providing for the consideration of H.R. 472, Local Census Quality Control Act, On Agreeing to the Resolution"
Passed,0.010865016715235886,0.050136787983760284,419.0,17.0,218.0,-201.0,"Local Census Quality Control Act, On Passage"
Passed,0.009447009578085048,0.04909089920852735,418.0,4.0,211.0,-207.0,"Providing for Consideration of Certain Bills and Resolutions Concerning the Federal Republic of Yugoslavia, On Agreeing to the Resolution"
Passed,0.010941597806830185,0.04894681688846912,417.0,19.0,218.0,-199.0,"Providing for the consideration of H.R. 1259, Social Security and Medicare Safe Deposit Box Act, On Agreeing to the Resolution"
Agreed to,0.011834771498478867,0.047108358011084706,382.0,30.0,206.0,-176.0,", On Agreeing to the Amendment"
Passed,0.01037671739539906,0.04780701459426589,402.0,16.0,209.0,-193.0,"Providing for the consideration of H.R. 1905; Legislative Appropriations for F.Y. 2000, On Ordering the Previous Question"
Passed,0.011173042803964812,0.04743381917277902,399.0,25.0,212.0,-187.0,", table motion to reconsider"
Passed,0.011003159540337364,0.04730318356450613,403.0,23.0,213.0,-190.0,"Providing for the consideration of H.R. 1905; Legislative Appropriations for F.Y. 2000, On Agreeing to the Resolution, as amended"
Passed,0.011023216633590203,0.047446698350867275,402.0,22.0,212.0,-190.0,", table motion to reconsider"
Passed,0.014116938719552493,0.047259416042285174,392.0,52.0,222.0,-170.0,"Providing for consideration of H.R. 1501, Consequences for Juvenile Offenders Act, and H.R. 2122, Mandatory Gun Show Background Check Act, On Agreeing to the Resolution"
Passed,0.011676731532571278,0.0494809728884518,417.0,25.0,221.0,-196.0,"Providing for consideration of H.R. 10; Financial Services Act, On Agreeing to the Resolution"
Passed,0.010319680272633932,0.049978379098635554,422.0,12.0,217.0,-205.0,"Providing for consideration of H.R. 2488; Financial Freedom Act of 1999, On Agreeing to the Resolution, as amended"
Passed,0.010666619151995429,0.04981415921132002,411.0,15.0,213.0,-198.0,"Financial Freedom Act of 1999, On Passage"
Passed,0.012028498813072584,0.04912943799445794,411.0,27.0,219.0,-192.0,"Providing for consideration of H.R. 2587; District of Columbia Appropriations Act, 2000, On Agreeing to the Resolution"
Passed,0.010775763438785523,0.04935477912417567,415.0,17.0,216.0,-199.0,"Providing for consideration of H.R. 2670; Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriations Act, FY 2000, On Agreeing to the Resolution"
Passed,0.01148145772675409,0.04986005912079593,418.0,22.0,220.0,-198.0,"Waiving points of order against the conference report to accompany H.R. 2488; Financial Freedom Act, On Agreeing to the Resolution"
Passed,0.010590643678133749,0.04958598788848809,409.0,15.0,212.0,-197.0,"Financial Freedom Act of 1999, On Agreeing to the Conference Report"
Passed,0.010243331859096733,0.050026474715117286,424.0,10.0,217.0,-207.0,"Providing for consideration of H.R. 2684; V.A., HUD Appropriations for F.Y. 2000, On Ordering the Previous Question"
Passed,0.011217216541190036,0.04743950361097694,406.0,22.0,214.0,-192.0,", Sustaining Ruling of the Chair"
Passed,0.010556739458471624,0.05027762505255956,427.0,13.0,220.0,-207.0,"Providing for consideration of H.R. 2990; Quality Care for the Uninsured Act of 1999, On Agreeing to the Resolution"
Passed,0.011362697781371575,0.04848460873976894,400.0,22.0,211.0,-189.0,"Quality Care for the Uninsured Act of 1999, On Passage"
Passed,0.010712228321139584,0.04924653840401096,416.0,16.0,216.0,-200.0,"Providing for Consideration of H.R. 3064; District of Columbia Appropriations Act, 2000, On Agreeing to the Resolution"
Passed,0.010263645696729887,0.04936303876082089,413.0,13.0,213.0,-200.0,"Financial Freedom Act of 1999, Table Motion to Discharge Committee"
Passed,0.011081477359432105,0.050124777155637,418.0,18.0,218.0,-200.0,"Waiving points of order against the conference report to accompany H.R. 2670; Commerce, State, Justice Appropriations for F.Y. 2000, On Ordering the Previous Question"
Passed,0.011062121780384102,0.0498267278062302,416.0,18.0,217.0,-199.0,"Waiving points of order against the conference report to accompany H.R. 2670; Commerce, State, Justice Appropriations for F.Y. 2000, On Agreeing to the Resolution"
Passed,0.012551551854953838,0.04781392580931219,397.0,33.0,215.0,-182.0,"Waiving points of order against the conference report to accompany H.R. 2466; Department of the Interior and Related Agencies Appropriations Act, On Agreeing to the Resolution"
Passed,0.010249541520841884,0.04777157107548893,402.0,14.0,208.0,-194.0,"Providing for consideration of H.R. 2300; Academic Achievement for All Act (Straight A’s Act), On Agreeing to the Resolution"
Passed,0.0107538434314922,0.04999009984782635,420.0,16.0,218.0,-202.0,"Waiving points of order against the conference report to accompany H.R. 3064; District of Columbia Appropriations Act, 2000, On Agreeing to the Resolution"
Passed,0.010228609203876231,0.04837910563952927,407.0,7.0,207.0,-200.0,"District of Columbia Appropriations Act, 2000, On Agreeing to the Conference Report"
Passed,0.011439982034663483,0.04780374674659615,405.0,23.0,214.0,-191.0,"Providing for consideration of motions to suspend the rules., On Agreeing to the Resolution"
Passed,0.010153743864818546,0.0482595298457495,397.0,7.0,202.0,-195.0,"District of Columbia Appropriations Act, 2000, On Passage"
Passed,0.01072002724497372,0.049153062249594794,417.0,15.0,216.0,-201.0,", Table appeal from ruling of chair"
Passed,0.010718850919973684,0.048477785734025614,410.0,16.0,213.0,-197.0,", table appeal from ruling of the chair"
Passed,0.010262820459321748,0.04901697460034117,415.0,11.0,213.0,-202.0,", Table appeal from ruling of the chair"
Passed,0.010339880790862488,0.0476932888809402,405.0,13.0,209.0,-196.0,"Providing for Consideration of Motions to Suspend the Rules, On Agreeing to the Resolution"
Passed,0.012801023015248563,0.046687381580603725,384.0,36.0,210.0,-174.0,"Providing for consideration of H.R. 2366; Small Business Liability Reform Act of 2000, On Agreeing to the Resolution"
Passed,0.010104194033669358,0.04961771913266363,416.0,8.0,212.0,-204.0,"Providing for the consideration of H.R. 3081 and H.R. 3846, On Ordering Previous Question on Resolution as Amended"
Passed,0.009464727518368136,0.049302862759782885,413.0,3.0,208.0,-205.0,"Providing for the consideration of H.R. 3081 and H.R. 3846, On Agreeing to the Resolution as Amended"
Passed,0.011302796076127488,0.0473146321187262,402.0,24.0,213.0,-189.0,"Providing for consideration of S. 1287; Nuclear Waste Policy Amendments Act, On Ordering the Previous Question"
Passed,0.011505073464705674,0.04570328627407035,391.0,29.0,210.0,-181.0,"Providing for consideration of S. 1287; Nuclear Waste Policy Amendments Act, On Agreeing to the Resolution"
Passed,0.011430662397455299,0.04911858045982337,412.0,22.0,217.0,-195.0,"Providing for consideration of H.R. 3822; Oil Price Reduction Act of 2000, On Ordering the Previous Question"
Passed,0.011000367027919511,0.04939604459337291,417.0,17.0,217.0,-200.0,"Providing for consideration of H. Con Res. 290 establishing the congressional budget for the United States Government for FY 2001, On Ordering the Previous Question"
Passed,0.010920975152068949,0.0496686138361011,416.0,16.0,216.0,-200.0,"Waiving points of order against the conference report to accompany H.Con.Res. 290; The Budget Resolution for F.Y. 2001, On Agreeing to the Resolution"
Passed,0.010682161149044673,0.04929321221830583,404.0,12.0,208.0,-196.0,"Budget Resolution for F.Y. 2001, On Agreeing to the Conference Report"
Passed,0.013117178017144291,0.046509296320011356,376.0,42.0,209.0,-167.0,"Date Certain Tax Code Replacement Act, On Passage"
Passed,0.011431757758397148,0.04860095596654498,409.0,21.0,215.0,-194.0,"Providing for the consideration of H.R. 853, Comprehensive Budget Process Reform Act, On Ordering the Previous Question"
Passed,0.011108287421781719,0.048644329711519906,411.0,19.0,215.0,-196.0,"Providing for consideration of H.R. 4205; Defense Authorization for F.Y. 2001, On Agreeing to the Resolution"
Passed,0.01199337949933728,0.04915809860011382,412.0,26.0,219.0,-193.0,"Providing for the further consideration of H.R. 4205, Floyd D. Spence National Defense Authorization Act for Fiscal Year 2001, On Ordering the Previous Question"
Agreed to,0.012010753686799226,0.0465734124097951,391.0,31.0,211.0,-180.0,", On Agreeing to the Amendment"
Passed,0.011325853526208242,0.048812073916303975,410.0,20.0,215.0,-195.0,"Providing for the Consideration of H.R. 3916, to Amend the Internal Revenue Code of 1986 to Repeal the Excise Tax on Telephone and Other Communication Services, On Ordering the Previous Question"
Agreed to,0.009172104090406205,0.04949640815787656,405.0,1.0,203.0,-202.0,", On Agreeing to the Amendment"
Passed,0.01045612904292489,0.04963472735101777,414.0,14.0,214.0,-200.0,"Providing for consideration of H.R. 4577; Making Appropriations for Labor, Health and Human Services for F.Y. 2001, On Agreeing to the Resolution"
Passed,0.011753900965086581,0.04866185574434589,406.0,26.0,216.0,-190.0,"Providing consideration of H.R 8; To amend the Internal Revenue Code of 1986 to phaseout the estate and gift Taxes over a 10-year period, On Ordering the Previous Question"
Passed,0.009826700218333777,0.049329499191667146,410.0,2.0,206.0,-204.0,"Making Appropriations for Labor, Health and Human Services for Fiscal Year 2001, On Passage"
Passed,0.012851620321957384,0.04666121992344501,389.0,37.0,213.0,-176.0,"Providing for the consideration of H.R. 4690, Departments of Commerce, Justice, State and the Judiciary Appropriations for FY 2001, On Agreeing to the Resolution"
Passed,0.01155863235441815,0.04809875251041583,404.0,24.0,214.0,-190.0,"Providing for consideration of H.R.4680; Medicare Rx 2000 Act, Will the House now Consider the Resolution"
Passed,0.010913525347073287,0.04805727494451193,401.0,19.0,210.0,-191.0,"Providing for consideration of H.R.4680; Medicare Rx 2000 Act, On Motion to Table"
Passed,0.011589667299738572,0.05002078343866469,419.0,23.0,221.0,-198.0,"Providing for consideration of H.R.4680; Medicare Rx 2000 Act, On Ordering the Previous Question"
Passed,0.010542525249552112,0.048945464736882605,409.0,15.0,212.0,-197.0,"Providing for consideration of H.R.4680; Medicare Rx 2000 Act, On Motion to Table the Motion to Reconsider"
Passed,0.009459290085860458,0.04903057650513187,407.0,3.0,205.0,-202.0,"Providing for consideration of H.R.4680; Medicare Rx 2000 Act, On Agreeing to the Resolution"
Passed,0.010961097097872985,0.049641421320788554,418.0,18.0,218.0,-200.0,"Providing for consideration of H.R.4680; Medicare Rx 2000 Act, On Motion to Table the Motion to Reconsider"
Passed,0.011394380547625094,0.049399575287825556,416.0,22.0,219.0,-197.0,"The Medicare RX 2000 Act, Table Appeal of the Ruling of the Chair"
Passed,0.009751526242127337,0.048373657201706145,400.0,2.0,201.0,-199.0,"The Medicare RX 2000 Act, On Passage"
Passed,0.01192025847515546,0.04890748688051287,410.0,26.0,218.0,-192.0,"Providing for the consideration of H.R. 4811, Foreign Operations Appropriations for FY 2001, On Agreeing to the Resolution"
Passed,0.010563116376675692,0.04951280618247863,410.0,14.0,212.0,-198.0,"Providing for consideration of H.R. 4942; Making Appropriations for the District of Columbia for F.Y. 2001, On Agreeing to the Resolution"
Passed,0.012946442433794867,0.04709872869910248,397.0,37.0,217.0,-180.0,"Providing for consideration of H.R. 4865; Social Security Benefits Tax Relief Act, On Agreeing to the Resolution"
Passed,0.009485210757431395,0.0492715134011246,412.0,4.0,208.0,-204.0,"Waiving Points of Order Against the Conference Report on H.R. 4516, Legislative Branch Appropriations for FY 2001, On Agreeing to the Resolution"
Passed,0.01036613071918007,0.04888516343952828,406.0,10.0,208.0,-198.0,"District of Columbia Appropriations for F.Y. 2001, On Passage"
Failed,0.010897324727863578,0.04730643810861408,397.0,17.0,207.0,-190.0,"Prosser Diversion Dam Study Act, On Motion to Suspend the Rules and Pass, As Amended"
Passed,0.01038581579810317,0.048659675908028444,403.0,13.0,208.0,-195.0,"Waiving points of order against the conference report to H.R. 4461 making appropriations for Agriculture, Rural Development, Food and Drug Administration and Related Agencies, On Ordering the Previous Question"
Passed,0.010795200993829095,0.04726211757580463,397.0,19.0,208.0,-189.0,"Providing for consideration of the joint resolution H.J. Res 114 making further continuing appropriations for FY 2001, and for other purposes., On Ordering the Previous Question"
Passed,0.010317855785093394,0.04802678876521163,403.0,13.0,208.0,-195.0,"Waiving points of order against the conference report to accompany HR 4811 making appropriations for foreign operations, export financing, and related programs for FY 2001, On Ordering the Previous Question"
Passed,0.010177159343544252,0.04761686231919496,400.0,14.0,207.0,-193.0,"Waiving points of order against the conference report to accompany H.R. 2614 to amend the Small Business Investment Act to make improvements to the certified development company program, and for other purposes, On Ordering the Previous Question"
Passed,0.010998018370289709,0.047711134944031786,402.0,20.0,211.0,-191.0,"Waiving points of order against the conference report to accompany H.R. 4942; D.C. Appropriations for F.Y. 2001, On Ordering the Previous Question"
Passed,0.010953789991115466,0.04736519003036137,396.0,20.0,208.0,-188.0,"Waiving points of order against the conference report to accompany H.R. 4942; D.C. Appropriations for F.Y. 2001, On Agreeing to the Resolution"
Passed,0.011861447543225562,0.04672739576552363,393.0,31.0,212.0,-181.0,"Providing for the consideration of motions to suspend the rules, On Agreeing to the Resolution"
"
",>>>>>,Upper,Right,<<<<<,"
"
Passed,0.04183557730899824,-0.010060009656728732,15.0,399.0,207.0,192.0,"Small Business Investment Company Technical Corrections Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.04250532162003688,-0.009922427826352848,18.0,408.0,213.0,195.0,"Dante B. Fascell North-South Center Designation, On Motion to Suspend the Rules and Pass"
Passed,0.04210204472590806,-0.010964573317610382,8.0,404.0,206.0,198.0,"Federal Aviation Administration Programs Extension, On Passage"
Passed,0.042041154049099985,-0.011742927149737792,1.0,405.0,203.0,202.0,"Aviation War Risk Insurance Program Extension, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.03858850489078488,-0.009314473706406015,12.0,364.0,188.0,176.0,", On Approving the Journal"
Passed,0.042729132392296955,-0.010588832813853777,12.0,406.0,209.0,197.0,"Microloan Program Technical Corrections Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.04300354268090262,-0.009679038973804354,20.0,412.0,216.0,196.0,"Paperwork Elimination Act, On Motion to Suspend the Rules and Pass"
Passed,0.043128332825228044,-0.009848686086207014,19.0,413.0,216.0,197.0,"Miscellaneous Trade and Technical Corrections Act, On Motion to Suspend the Rules and Pass"
Passed,0.04367407913714079,-0.010895148311862954,13.0,419.0,216.0,203.0,"Honoring the life and legacy of King Hussein ibn Talal al-Hashem, On Agreeing to the Resolution"
Passed,0.04263047201061273,-0.011497750586029105,5.0,411.0,208.0,203.0,"Presidential and Executive Office Financial Accountability Act, On Passage"
Passed,0.04317842524323022,-0.010532150545213418,11.0,413.0,212.0,201.0,"Wireless Communications and Public Safety Act, On Passage"
Passed,0.043460832582045264,-0.011037975807053516,9.0,417.0,213.0,204.0,"Government Waste, Fraud and Error Reduction Act, On Passage"
Passed,0.04416425134579909,-0.010989157469715474,13.0,425.0,219.0,206.0,"Federal Financial Assistance Management Improvement Act, On Passage"
Passed,0.04229819983604433,-0.008536928225706206,23.0,399.0,211.0,188.0,"Wireless Privacy Enhancement Act, On Passage"
Passed,0.04292015186124239,-0.01190920139178091,2.0,414.0,208.0,206.0,"Expressing the Sense of the Congress Concerning the Social Security Guarantee Initiative, Suspend the rules and pass, as amended"
Passed,0.042998359692060506,-0.01158857780397473,5.0,415.0,210.0,205.0,"To Amend the Export Apple and Pear Act to Limit the Applicability of the Act to Apples, Suspend the rules and pass"
Passed,0.04249622992603528,-0.010925600889393688,8.0,410.0,209.0,201.0,"Clarify the Application of the “Death on the High Seas Act” to Aviation Incidents, On Passage"
Passed,0.04304028396752197,-0.011130184104742053,8.0,412.0,210.0,202.0,"Disaster Mitigation and Cost Reduction Act, On Passage"
Passed,0.04013683702120313,-0.01314288939623133,-14.0,386.0,186.0,200.0,"Nursing Home Resident Protection Amendments, Suspend the Rules and Pass"
Agreed to,0.04089225606745429,-0.011611672068142804,2.0,392.0,197.0,195.0,", On Agreeing to the Amendment"
Passed,0.04348060713027746,-0.010520014359136283,14.0,416.0,215.0,201.0,"Short-Term Extension of Farm Bankruptcy Law, Suspend the rules and pass, as amended"
Passed,0.04235759487271345,-0.011242173977766948,6.0,406.0,206.0,200.0,"Expressing Support for Open Elections in Indonesia, Suspend the Rules and Agree"
Passed,0.0436605044948022,-0.01046024349379433,16.0,420.0,218.0,202.0,"Expressing the Sense of Congress criticizing China for its Human Rights Abuses, Suspend the rules and agree, as amended"
Passed,0.04150139478324211,-0.01236428459963719,-3.0,399.0,198.0,201.0,"Federal Maritime Commission Authorization Act, On Passage"
Agreed to,0.04418014375810889,-0.011990479785694032,5.0,427.0,216.0,211.0,", On Agreeing to the Amendment"
Agreed to,0.043634328081610135,-0.012802444595713227,-3.0,419.0,208.0,211.0,", On Agreeing to the Amendment"
Passed,0.04338696214193711,-0.013232491952338894,-6.0,416.0,205.0,211.0,"Coast Guard Authorization Act of 1999, On Passage"
Passed,0.04420450775005763,-0.010886051291059415,13.0,425.0,219.0,206.0,"Arlington National Cemetery Burial Eligibility Act, On Motion to Suspend the Rules and Pass"
Passed,0.04449967254654696,-0.011570864858954436,9.0,427.0,218.0,209.0,"Commemorating the 20th Anniversary of the Taiwan Relations Act, Suspend the Rules and Agree"
Passed,0.04353735542705165,-0.012023485617931302,4.0,420.0,212.0,208.0,"Concerning Anti-Semitic Statements Made by Members of the Duma of the Russian Federation, Suspend the Rules and Agree, as amended"
Passed,0.04369727465271532,-0.01136545108481299,8.0,422.0,215.0,207.0,"Expressing support of the House of Representatives for the members of the U.S. Armed Forces engaged in military operations against the Federal Republic of Yugoslavia, On Agreeing to the Resolution"
