"
",>>>>>,Lower,Left,<<<<<,"
Failed,-0.03485085585369938,-0.013623206439797086,-387.0,-53.0,-220.0,167.0,", On Agreeing to the Amendment"
Failed,-0.03782477813447931,-0.012754964213589582,-399.0,-67.0,-233.0,166.0,"Medicare Preservation Act of 1995, On Motion to Recommit with Instructions"
Failed,-0.038155661476806664,-0.011863009889045446,-393.0,-71.0,-232.0,161.0,"Budget Reconciliation Act of 1995, On Motion to Recommit with Instructions"
Failed,-0.03538748924621253,-0.01911995569102338,-402.0,-22.0,-212.0,190.0,"Budget Reconciliation Act of 1995, On Motion to Instruct Conferees"
Failed,-0.036188130796211124,-0.0183811789051623,-403.0,-29.0,-216.0,187.0,"Further Continuing Appropriations for F.Y. 1996, On Motion to Recommit with Instructions"
Failed,-0.035155497432679275,-0.014931240474316005,-372.0,-42.0,-207.0,165.0,"Common Sense Legal Standards Reform Act, Motion to Instruct Conferees"
Failed,-0.0369094930467028,-0.01522898817897767,-408.0,-50.0,-229.0,179.0,"Temporary Increase in the Public Debt Limit, On Motion to Recommit with Instructions"
Failed,-0.03632310213306408,-0.014328741367726185,-409.0,-55.0,-232.0,177.0,"Making further continuing appropriations for fiscal year 1996, On Motion to Recommit with Instructions"
Failed,-0.03645014100129454,-0.016384877940061205,-401.0,-41.0,-221.0,180.0,"Commerce, Justice, State and the Judiciary Appropriations for Fiscal Year 1996, Recommit the Conference Report with instructions"
Failed,-0.0340653834244009,-0.01807099899229835,-390.0,-22.0,-206.0,184.0,"VA, HUD, Appropriations for Fiscal Year 1996, Recommit the Conference Report With Instructions"
Failed,-0.03697875549743627,-0.014074673747466066,-398.0,-54.0,-226.0,172.0,"Department of the Interior Appropriations for F.Y. 1996, On Motion to Recommit with Instructions"
Failed,-0.03382990499778482,-0.013714073076519171,-370.0,-46.0,-208.0,162.0,"Deployment of U.S. Armed Forces to Bosnia, On Agreeing to the Resolution"
Failed,-0.03640769853106604,-0.016766289659881965,-412.0,-40.0,-226.0,186.0,"Prevent Disinvestment of Trust Funds, On Motion to Recommit with Instructions"
Failed,-0.03634600606240567,-0.014303500574019502,-403.0,-57.0,-230.0,173.0,"Making further continuing appropriations for the fiscal year 1996, On Motion to Recommit with Instructions"
Failed,-0.03677761722813496,-0.017158318928666257,-420.0,-40.0,-230.0,190.0,"Personal Responsibility Act of 1995, Recommit Conference Report With Instructions"
Failed,-0.03540559287645001,-0.017803155492647996,-406.0,-30.0,-218.0,188.0,"Making appropriations for fiscal year 1996 to make a downpayment toward a balanced budget, On Motion to Recommit with Instructions"
Failed,-0.035018471868538514,-0.013121662617384225,-371.0,-53.0,-212.0,159.0,"District of Columbia Appropriations for F.Y. 1996, Recommit Conference Report With Instructions"
Failed,-0.03579632743816453,-0.015429821713212395,-405.0,-47.0,-226.0,179.0,"Omnibus Appropriations for Fiscal Year 1996, On Motion to Recommit with Instructions"
Failed,-0.03628758780703552,-0.017312385821227357,-417.0,-39.0,-228.0,189.0,"Further Continuing Appropriations, FY 1996, On Motion to Recommit with Instructions"
Failed,-0.033931531121193445,-0.014275672865314693,-366.0,-44.0,-205.0,161.0,"Immigration Act of 1995, On Motion to Recommit with Instructions"
Failed,-0.035656211190406,-0.01690146242876553,-395.0,-37.0,-216.0,179.0,"Debt Limit Extension, Consideration of Motion to Recommit With Instructions"
Failed,-0.03469991744427984,-0.01711798891595518,-387.0,-35.0,-211.0,176.0,", On Agreeing to the Amendment"
Failed,-0.036124749078938354,-0.01434949682365334,-393.0,-55.0,-224.0,169.0,"Health Coverage Availability and Affordability Act, On Motion to Recommit with Instructions"
Failed,-0.033699187491992,-0.017098693220207517,-370.0,-28.0,-199.0,171.0,", On Agreeing to the Amendment"
Failed,-0.03360062705457693,-0.016395798484532233,-367.0,-31.0,-199.0,168.0,"United States Housing Act of 1996, On Motion to Recommit with Instructions"
Failed,-0.036099702672191,-0.013441476048901082,-396.0,-56.0,-226.0,170.0,"Department of Defense Authorization, FY 1997, On Motion to Recommit with Instructions"
Failed,-0.035396046254486745,-0.015347397806751211,-397.0,-43.0,-220.0,177.0,"Gas Tax Increase Repeal, On Motion to Recommit with Instructions"
Failed,-0.03447494320555274,-0.012044228869947677,-388.0,-60.0,-224.0,164.0,", On Agreeing to the Amendment"
Failed,-0.0367008228236426,-0.016844558484456904,-422.0,-40.0,-231.0,191.0,", On Agreeing to the Amendment"
Failed,-0.03591608249841203,-0.013531157416531669,-378.0,-54.0,-216.0,162.0,"Health Coverage Availability and Affordability Act, Motion to Instruct Conferees"
Failed,-0.03586284223836757,-0.0109368013901955,-378.0,-66.0,-222.0,156.0,"Interior Appropriations for F.Y. 1997, On Motion to Recommit"
Failed,-0.03621696896958226,-0.016564799194390765,-414.0,-40.0,-227.0,187.0,"Legislative Branch Appropriations for F.Y. 1997, On Motion to Recommit with Instructions"
Failed,-0.03649462834667769,-0.01821933047266499,-420.0,-30.0,-225.0,195.0,", On Agreeing to the Amendment"
Failed,-0.03434101982210075,-0.019073023856803886,-378.0,-20.0,-199.0,179.0,", On Agreeing to the Amendment"
Failed,-0.03586532563707489,-0.014088462838851689,-400.0,-52.0,-226.0,174.0,", Strike the enacting clause"
Failed,-0.035365306022489704,-0.019768661934995546,-408.0,-18.0,-213.0,195.0,"Welfare and Medicaid Reform Act of 1996, On Motion to Recommit with Instructions"
Failed,-0.03467555194424343,-0.016602161199758565,-373.0,-31.0,-202.0,171.0,"Health Coverage Availability and Affordability Act, Recommit conference report with instructions"
"
",>>>>>,Upper,Left,<<<<<,"
"
Foley,0.037119088128300254,0.018220803297941273,429.0,27.0,228.0,-201.0,", ELECTION OF SPEAKER"
Passed,0.03732629176442814,0.01739122319321616,422.0,34.0,228.0,-194.0,"RULES OF THE HOUSE, On Ordering the Previous Question"
Passed,0.03775260965891533,0.010720304424666467,385.0,71.0,228.0,-157.0,"PROVIDING FOR THE CONSIDERATION OF H. RES. 6, On Agreeing to the Resolution"
Passed,0.03359442321646596,0.013299691025810929,383.0,45.0,214.0,-169.0,", TABLE APPEAL OF THE RULING OF THE CHAIR"
Passed,0.03442661812884191,0.014822485585699055,394.0,40.0,217.0,-177.0,", striking words from the record"
Passed,0.03554442003695451,0.014134091591291472,406.0,46.0,226.0,-180.0,", Leave for Committees to Sit for Balance of the Week"
Passed,0.037119431976532724,0.016880723088139194,416.0,38.0,227.0,-189.0,"Providing for the consideration of H, Con, Res 17 and H,J, Res. 1; relating to the Balanced Budget Amendment, On Ordering the Previous Question"
Agreed to,0.03713881869069356,0.009870803545746933,378.0,78.0,228.0,-150.0,", On Agreeing to the Amendment"
Passed,0.03551853993266315,0.013606739716965625,392.0,52.0,222.0,-170.0,"Unfunded Mandate Reform Act, On motion to Limit Debate"
Passed,0.03587603435790015,0.013517199848267292,391.0,57.0,224.0,-167.0,"Unfunded Mandate Reform Act, motion to rise"
Agreed to,0.035318885255724,0.012889859256328835,365.0,53.0,209.0,-156.0,", On Agreeing to the Amendment"
Passed,0.03562741636218594,0.01649819385029868,409.0,33.0,221.0,-188.0,", On ordering the Previous Question"
Passed,0.035455606946089416,0.016851748075616752,410.0,30.0,220.0,-190.0,", Committees to Sit during 5 minute Rule for Balance of Week"
Agreed to,0.036846124433205486,0.01531964340647381,389.0,45.0,217.0,-172.0,", On Agreeing to the Committee Substitute as Amended"
Passed,0.03589556924156812,0.014848004319609415,376.0,46.0,211.0,-165.0,"Local Government Law Enforcement Block Grants Act of 1995, On Passage"
Passed,0.036733008841325174,0.017293639371428814,425.0,31.0,228.0,-197.0,"Providing for the consideration of H.R.7, National Security Revitalization Act, On Ordering the Previous Question"
Passed,0.03612110329749331,0.01672421317804457,413.0,31.0,222.0,-191.0,"Providing for the consideration of H.R.7, National Security Revitalization Act, On Agreeing to the Resolution"
Agreed to,0.03472784052314289,0.01835499898126796,398.0,18.0,208.0,-190.0,", On Agreeing to the Amendment"
Agreed to,0.03341202791977833,0.01545331271953544,382.0,32.0,207.0,-175.0,", On Agreeing to the Amendment"
Passed,0.03573392422462095,0.012432668586946418,378.0,60.0,219.0,-159.0,"National Security Revitalization Act, On Passage"
Passed,0.03579508390072066,0.015535025380728094,408.0,40.0,224.0,-184.0,"Providing for consideration of H.R. 831; Deduction of Health Insurance Costs for the Self-Employed, On Ordering the Previous Question"
Passed,0.035116954903943995,0.014542345032271895,398.0,42.0,220.0,-178.0,"Providing for consideration of H.R. 831; Deduction of Health Insurance Costs for the Self-Employed, On Agreeing to the Resolution"
Passed,0.037142406683612725,0.009667884962288147,374.0,78.0,226.0,-148.0,"Providing for the consideration of H.R. 450; Regulatory Transition Act of 1995, On Agreeing to the Resolution"
Passed,0.03466380092299857,0.015098868895627416,370.0,40.0,205.0,-165.0,"Attorney Accountability Act of 1995, On Passage"
Passed,0.036694160724037646,0.015361825124882036,400.0,44.0,222.0,-178.0,"Providing for the further consideration of H.R. 956; Common Sense Product Product Liability Reform Act of 1995, On Ordering the Previous Question"
Passed,0.037325225760344465,0.011786760636243059,383.0,67.0,225.0,-158.0,"Providing for the further consideration of H.R. 956; Common Sense Product Product Liability Reform Act of 1995, On Agreeing to the Resolution"
Agreed to,0.03679077912338122,0.018564271289816765,429.0,23.0,226.0,-203.0,", On Agreeing to the Amendment"
Passed,0.03675813860473559,0.01368490276677389,387.0,53.0,220.0,-167.0,"Providing for the consideration of H.R. 1158; Making Emergency Supplemental Appropriations for Additional Disaster Assistance and Making Supplemental Appropriations and Rescissions, On Agreeing to the Resolution, as Amended"
Passed,0.03574197236718826,0.01755707579752762,403.0,27.0,215.0,-188.0,"Supplemental Appropriations and Making Recissions, On Passage"
Passed,0.03621107732736405,0.01617194984507799,408.0,38.0,223.0,-185.0,", Permission for Committees to sit"
Agreed to,0.036592595033812965,0.017799737271130024,424.0,26.0,225.0,-199.0,", On Agreeing to the Amendment"
Passed,0.036577867847564276,0.016539456358622327,405.0,35.0,220.0,-185.0,"Personal Responsibility Act of 1995, On Passage"
Passed,0.03441892757111589,0.018631828530711533,400.0,16.0,208.0,-192.0,", On motion to proceed in order"
Passed,0.03602955798292554,0.01805444755171261,418.0,24.0,221.0,-197.0,"Waiving points of order against consideration of Conference Report on H.R. 831; Deduction of Health Insurance Costs for the Self-Employed, On Ordering the Previous Question"
Passed,0.037064441050256955,0.011761168446023146,383.0,67.0,225.0,-158.0,"Waiving points of order against consideration of Conference Report on H.R. 831; Deduction of Health Insurance Costs for the Self-Employed, On Agreeing to the Resolution"
Passed,0.03700684407965356,0.018487088258918562,428.0,28.0,228.0,-200.0,"Providing for the consideration of H.R. 1215; Contract With America Tax Relief Act, On Ordering the Previous Question"
Passed,0.03540604487913035,0.018579180598169223,391.0,25.0,208.0,-183.0,"Providing for the consideration of H.R. 1215; Contract With America Tax Relief Act, On Agreeing to the Resolution"
Passed,0.037001079357393836,0.018628651569306338,431.0,25.0,228.0,-203.0,", Table Appeal of the Ruling of the Chair"
Passed,0.03522809090196295,0.012056609319791975,358.0,58.0,208.0,-150.0,"Contract With America Tax Relief Act, On Passage"
Passed,0.036631770632955335,0.01643677860817651,413.0,39.0,226.0,-187.0,", Table appeal of the ruling of the chair"
Failed,0.03648969775686657,0.01012569393972839,376.0,78.0,227.0,-149.0,"Medicare Trustees reporting on financial imbalance, On Motion to Suspend the Rules and Pass"
Passed,0.03652336158340361,0.014089752602851446,395.0,55.0,225.0,-170.0,", Committees to sit today and the balance of the week"
Passed,0.03756265633615591,0.01617264799167423,413.0,45.0,229.0,-184.0,"Setting forth the Congressional Budget for the United States Government for fiscal years 1996 - 2002, On Agreeing to the Resolution"
Passed,0.03644783588445286,0.015333062156673337,398.0,46.0,222.0,-176.0,"Supplemental Appropriations and Making Recissions, On Agreeing to the Conference Report"
Passed,0.03509489252666378,0.01615306684154308,399.0,35.0,217.0,-182.0,"Providing for the consideration of H.R. 1530, DOD Authorization, FY 1996, On Ordering the Previous Question"
Passed,0.034314916122448746,0.012456520173041429,371.0,51.0,211.0,-160.0,"Providing for the consideration of H.R. 1530, DOD Authorization, FY 1996, On Agreeing to the Resolution"
Passed,0.03495573728963671,0.014723122488370138,394.0,44.0,219.0,-175.0,"Providing for consideration of H.R. 1817; Military Construction Appropriations for fiscal year 1996, On Ordering the Previous Question"
Passed,0.03694905137386493,0.014481921769914087,400.0,52.0,226.0,-174.0,"To provide for a Corrections Calendar, On Ordering the Previous Question"
Passed,0.036905522329125286,0.016759852378012356,417.0,37.0,227.0,-190.0,"Providing for the consideration of H.R. 1854; Legislative Branch Appropriations for fiscal year 1996, On Ordering the Previous Question"
Passed,0.036057058652623236,0.01448892270479285,396.0,46.0,221.0,-175.0,"Providing for the consideration of H.R. 1854; Legislative Branch Appropriations for fiscal year 1996, On Agreeing to the Resolution"
Passed,0.03624060512826311,0.015316040364657078,410.0,44.0,227.0,-183.0,"Legislative Branch Appropriations for fiscal year 1996, on motion to rise"
Passed,0.03584781285754762,0.016567350852252482,403.0,35.0,219.0,-184.0,", On Motion to Adjourn"
Passed,0.033528311069742085,0.0152414095017081,373.0,31.0,202.0,-171.0,", On Approving the Journal"
Passed,0.03647601722708562,0.0152743343798162,408.0,46.0,227.0,-181.0,", Permission for Committees to sit"
Passed,0.03423266122619389,0.01414900037546055,382.0,44.0,213.0,-169.0,"Providing for the consideration of H.R. 1868, Foreign Operations Appropriations for FY 1996, On Ordering the Previous Question"
Passed,0.0362433094794281,0.01456479983211568,397.0,53.0,225.0,-172.0,", On Ordering the Previous Question"
Passed,0.03664388260919737,0.014757991846649157,402.0,54.0,228.0,-174.0,", Table motion to reconsider"
Passed,0.0361045211219175,0.014072874395249443,397.0,55.0,226.0,-171.0,", On Agreeing to the Resolution"
Passed,0.03640395702858904,0.014187033128525147,399.0,55.0,227.0,-172.0,", Table Motion to Reconsider"
Passed,0.03761671377085485,0.014921804766915885,409.0,53.0,231.0,-178.0,"Setting forth the Congressional Budget for the United States Government for fiscal years 1996 - 2002, On Ordering the Previous Question"
Passed,0.03743790534953397,0.01595519815106678,412.0,46.0,229.0,-183.0,"Setting forth the Congressional Budget for the United States Government for fiscal years 1996 - 2002, Table Motion to Reconsider"
Passed,0.037757086097721666,0.016271971793513678,414.0,46.0,230.0,-184.0,"Setting forth the Congressional Budget for the United States Government for fiscal years 1996 - 2002, On Agreeing to the Conference Report"
Passed,0.037402933553121395,0.01658795222013419,417.0,43.0,230.0,-187.0,"Providing for the consideration of H.R. 1944; Making Emergency Supplemental Appropriations, On Ordering the Previous Question"
Passed,0.03718121042727894,0.016226075937668963,413.0,43.0,228.0,-185.0,"Providing for the consideration of H.R. 1944; Making Emergency Supplemental Appropriations, Table Motion to Reconsider"
Passed,0.037101817875683576,0.016367383909550958,411.0,43.0,227.0,-184.0,"Providing for the consideration of H.R. 1944; Making Emergency Supplemental Appropriations, On Agreeing to the Resolution"
Passed,0.0371608538447254,0.015663314011953144,408.0,48.0,228.0,-180.0,"Providing for the consideration of H.R. 1944; Making Emergency Supplemental Appropriations, Table Motion to Reconsider"
Passed,0.03468008288630431,0.015015424369944498,387.0,45.0,216.0,-171.0,", Question of Consideration"
Passed,0.0349958595011349,0.015345249940312652,386.0,44.0,215.0,-171.0,", Table Motion to Reconsider"
Passed,0.03599170714591895,0.01477694694273275,393.0,51.0,222.0,-171.0,", Table Motion to Reconsider"
Passed,0.03623934431191022,0.014481644087150953,397.0,55.0,226.0,-171.0,"Election to the Committee on Ways and Means, On Ordering the Previous Question"
Passed,0.03625226104382489,0.01475930104424815,399.0,53.0,226.0,-173.0,"Election to the Committee on Ways and Means, Table Motion to Reconsider"
Passed,0.035897446947068014,0.013591270360456315,391.0,59.0,225.0,-166.0,", Permit Committees To Sit"
Passed,0.03494141808168247,0.012132468932432451,385.0,69.0,227.0,-158.0,"Providing for further consideration in the Committee of the Whole of H.R. 1868; Foreign Operations Appropriations for FY 1996, Table Motion to Reconsider"
Passed,0.037200106137225776,0.016534314486061935,417.0,43.0,230.0,-187.0,", On Ordering the Previous Question"
Passed,0.03693938067864059,0.017118648094063698,417.0,37.0,227.0,-190.0,"Providing for consideration of H.R. 1977; Interior Appropriations Act for fiscal year 1996, On Ordering the Previous Question"
Passed,0.036115137711059266,0.016733272482434752,405.0,35.0,220.0,-185.0,"Providing for consideration of H.R. 1977; Interior Appropriations Act for fiscal year 1996, On Agreeing to the Resolution"
Passed,0.036873528497221725,0.01646447568875525,419.0,41.0,230.0,-189.0,"Providing for the consideration of H.R. 2020, Treasury, Postal Service Appropriations, FY 1996, On Ordering the Previous Question"
Passed,0.03727514836353256,0.013536843671736323,402.0,58.0,230.0,-172.0,"Providing for consideration of H.R. 1976; Agriculture Appropriations for fiscal year 1996, On Ordering the Previous Question"
Agreed to,0.03664441641085894,0.016419667021305935,419.0,39.0,229.0,-190.0,", On Agreeing to the Amendment"
Agreed to,0.03605453609102768,0.016509366459416242,402.0,38.0,220.0,-182.0,", On Agreeing to the Amendment"
Passed,0.034856707690141125,0.01945110086052783,402.0,16.0,209.0,-193.0,"Providing for the consideration of H.R. 2002; Department of Transportation Appropriations for FY 1996, On Ordering the Previous Question"
Passed,0.03640199579649178,0.01644915486573744,408.0,42.0,225.0,-183.0,"Providing for the consideration of H.R. 2099: VA, HUD, Appropriations for Fiscal Year 1996, On Agreeing to the Resolution"
Passed,0.0341694400996879,0.020262814889428483,379.0,11.0,195.0,-184.0,"Labor, HHS and Education Appropriations for Fiscal Year 1996, On Passage"
Passed,0.035647491952320115,0.014376445796454333,390.0,50.0,220.0,-170.0,"Waiving points of order against the conference report to accompany H.R. 1854; Legislative Branch Appropriations for F.Y. 1996, On Ordering the Previous Question"
Passed,0.03623000259650874,0.012788716277374877,386.0,60.0,223.0,-163.0,"Restrictions on Promotion by the Government of Use by Employee Benefit Plans of Economically Targeted Investments, On Passage"
Passed,0.03649863956341888,0.011675392958095526,393.0,69.0,231.0,-162.0,", Committees to sit"
Passed,0.03606127207090339,0.011727806855677873,387.0,69.0,228.0,-159.0,"Providing for consideration of H.R. 2274; National Highway System Designation Act of 1995, On Ordering the Previous Question"
Passed,0.037042813605986165,0.01730298437340854,422.0,38.0,230.0,-192.0,"Providing for the connsideration of H.R. 2425; Medicare Preservation Act of 1995, On Ordering the Previous Question"
Passed,0.03650891723498907,0.01741489914790246,414.0,36.0,225.0,-189.0,"Providing for the connsideration of H.R. 2425; Medicare Preservation Act of 1995, On Agreeing to the Resolution"
Passed,0.036742583622172434,0.01834159430825745,412.0,30.0,221.0,-191.0,"Medicare Preservation Act of 1995, On Passage"
Passed,0.03732333137295445,0.015981278893393104,408.0,48.0,228.0,-180.0,", On Motion to Table"
Passed,0.03626298198856867,0.01689799141611281,412.0,38.0,225.0,-187.0,"Providing for consideration of H.Con.Res. 109; Social Security Earnings Test Reform and further consideration of the bill H.R. 2491; Budget Reconciliation for F.Y. 1996, On Ordering the Previous Question"
Passed,0.0368738229637843,0.015182478513350105,401.0,51.0,226.0,-175.0,"Providing for consideration of H.Con.Res. 109; Social Security Earnings Test Reform and further consideration of the bill H.R. 2491; Budget Reconciliation for F.Y. 1996, On Agreeing to the Resolution"
Passed,0.035930210700451944,0.01888522326451733,402.0,24.0,213.0,-189.0,"Budget Reconciliation Act of 1995, On Passage"
Passed,0.036685785546939326,0.01514186584747278,406.0,52.0,229.0,-177.0,"Providing for the consideration of H.R. 2492, Legislative Branch Appropriations, FY 1996, On Ordering the Previous Question"
Passed,0.03533398022584143,0.011894136291955203,365.0,61.0,213.0,-152.0,"Providing for the consideration of H.R. 2546; District of Columbia Appropriations for F.Y. 1996, On Agreeing to the Resolution"
Agreed to,0.036113868228239,0.012657638093988182,388.0,64.0,226.0,-162.0,", On Agreeing to the Amendment"
Passed,0.036599689544006886,0.018055546123463204,405.0,33.0,219.0,-186.0,"Further Continuing Appropriations for F.Y. 1996, On Agreeing to the Resolution"
Passed,0.03538662117660246,0.01912665981932904,403.0,21.0,212.0,-191.0,"Providing for the consideration of H.R. 2586, Temporary Increase in Public Debt Limit, On Agreeing to the Resolution"
Passed,0.03556938721229657,0.017267984549480895,399.0,33.0,216.0,-183.0,"Temporary Increase in the Public Debt Limit, On Passage"
Passed,0.03491962181910394,0.016653213952368625,390.0,36.0,213.0,-177.0,"Providing for the consideration of Senate amendments to H.R. 2586, On Agreeing to the Resolution"
Passed,0.03523408643497979,0.01577571531194034,390.0,42.0,216.0,-174.0,"Providing for the consideration of Senate amendments to H.J. Res. 115, On Agreeing to the Resolution"
